ID_Station;ID_Autolib;Nom_Station;Nom_Voie;CP
FR*V75*EBELI*16;NULL;RUE CAULAINCOURT;103 RUE CAULAINCOURT;75018
FR*V75*EBELI*22;NULL;RUE LECOURBE;170 RUE LECOURBE;75015
FR*V75*EBELI*35;NULL;AVENUE DE SAXE;10 AVENUE DE SAXE;75007
FR*V75*EBELI*39;NULL;AVENUE DE VILLARS;9 AVENUE DE VILLARS;75007
FR*V75*EBELI*47;NULL;BOULEVARD MASSENA;107 BOULEVARD MASSENA;75013
FR*V75*EBELI*49;NULL;RUE DIDOT;47 RUE DIDOT;75014
FR*V75*EBELI*60;NULL;AVENUE GAMBETTA;227 AVENUE GAMBETTA;75020
FR*V75*EBELI*62;NULL;72 RUE DE ROME;72 RUE DE ROME;75008
FR*V75*EBELI*64;NULL;52 RUE ETIENNE MARCEL;52 RUE ETIENNE MARCEL;75002
FR*V75*EBELI*7;NULL;BOULEVARD VOLTAIRE;206 BOULEVARD VOLTAIRE;75011
FR*V75*EBELI*74;NULL;RUE DE VOUILLE;25 RUE DE VOUILLE;75015
FR*V75*EBELI*8;NULL;AVENUE DE FLANDRE;10 AVENUE DE FLANDRE;75019
FR*W75*PVP*0001;75101-05;Paris/Pyramides/12;12 RUE DES PYRAMIDES;75001
FR*W75*PVP*0004;75102-04;Paris/Quatre septembre/10;10 RUE DU QUATRE SEPTEMBRE;75002
FR*W75*PVP*0006;75102-10;Paris/Étienne Marcel/36;36 RUE ETIENNE MARCEL;75002
FR*W75*PVP*0009;75102-13;Paris/Dalayrac/19;19 RUE DALAYRAC;75002
FR*W75*PVP*0011;75103-01;Paris/Turenne/46;46 RUE DE TURENNE;75003
FR*W75*PVP*0014;75103-15;Paris/Beaumarchais/87;87 BOULEVARD BEAUMARCHAIS;75003
FR*W75*PVP*0029;75105-22;Paris/Henri Barbusse/25;25 RUE HENRI BARBUSSE;75005
FR*W75*PVP*0036;75106-15;Paris/Four/38;38 RUE DU FOUR;75006
FR*W75*PVP*0040;75107-07;Paris/Grenelle/152;152 RUE DE GRENELLE;75007
FR*W75*PVP*0050;75108-06;Paris/Matignon/2;2 AVENUE MATIGNON;75008
FR*W75*PVP*0052;75108-12;Paris/Malesherbes/7;7 BOULEVARD MALESHERBES;75008
FR*W75*PVP*0057;75108-32;Paris/Tronchet/19;19 RUE TRONCHET;75008
FR*W75*PVP*0058;75108-33;Paris/François 1er/38;38 RUE FRANCOIS 1ER;75008
FR*W75*PVP*0062;75109-09;Paris/Chaussée d'Antin/5;5 RUE DE LA CHAUSSEE D ANTIN;75009
FR*W75*PVP*0067;75109-22;Paris/Haussmann/6;6 BOULEVARD HAUSSMANN;75009
FR*W75*PVP*0069;75110-05;Paris/La Fayette/143;143 RUE LA FAYETTE;75010
FR*W75*PVP*0080;75111-01;Paris/Richard Lenoir/8;8 BOULEVARD RICHARD LENOIR;75011
FR*W75*PVP*0081;75111-02;Paris/Parmentier/2;2 AVENUE PARMENTIER;75011
FR*W75*PVP*0092;75112-11;Paris/Charenton/97;97 RUE DE CHARENTON;75012
FR*W75*PVP*0094;75112-18;Paris/Pirogues de Bercy/44;44 RUE DES PIROGUES DE BERCY;75012
FR*W75*PVP*0097;75112-26;Paris/Picpus/7;7 BOULEVARD DE PICPUS;75012
FR*W75*PVP*0101;75112-37;Paris/Bercy/5;5 BOULEVARD DE BERCY;75012
FR*W75*PVP*0106;75113-10;Paris/Vulpian/24;24 RUE VULPIAN;75013
FR*W75*PVP*0109;75113-19;Paris/Choisy/8;8 AVENUE DE CHOISY;75013
FR*W75*PVP*0113;75113-30;Paris/Fernand Braudel/21;21 RUE FERNAND BRAUDEL;75013
FR*W75*PVP*0116;75113-38;Paris/Darmesteter/12;12 RUE DARMESTETER;75013
FR*W75*PVP*0120;75114-05;Paris/Henri Barbusse/66;66 RUE HENRI BARBUSSE;75014
FR*W75*PVP*0124;75114-11;Paris/Départ/23;23 RUE DU DEPART;75014
FR*W75*PVP*0126;75114-25;Paris/Catalogne/2;2 PLACE DE CATALOGNE;75014
FR*W75*PVP*0127;75114-27;Paris/Jourdan/26;26 BOULEVARD JOURDAN;75014
FR*W75*PVP*0129;75115-04;Paris/Suffren/78;78 AVENUE DE SUFFREN;75015
FR*W75*PVP*0130;75115-05;Paris/Grenelle/139;139 BOULEVARD DE GRENELLE;75015
FR*W75*PVP*0134;75115-16;Paris/Vaugirard/20;20 BOULEVARD DE VAUGIRARD;75015
FR*W75*PVP*0141;75115-41;Paris/Finlay/43;43 RUE DU DOCTEUR FINLAY;75015
FR*W75*PVP*0145;75116-03;Paris/Victor Hugo/60;60 AVENUE VICTOR HUGO;75016
FR*W75*PVP*0146;75116-04;Paris/Victor Hugo/18;18 AVENUE VICTOR HUGO;75016
FR*W75*PVP*0150;75116-09;Paris/Raymond Poincaré/51;51 AVENUE RAYMOND POINCARE;75016
FR*W75*PVP*0151;75116-14;Paris/Émile Augier/20;20 BOULEVARD EMILE AUGIER;75016
FR*W75*PVP*0155;75116-21;Paris/Delessert/23;23 BOULEVARD DELESSERT;75016
FR*W75*PVP*0164;75117-11;Paris/Navier/47;47 RUE NAVIER;75017
FR*W75*PVP*0167;75117-18;Paris/Pereire/50;50 BOULEVARD PEREIRE;75017
FR*W75*PVP*0176;75118-07;Paris/Championnet/28;28 RUE CHAMPIONNET;75018
FR*W75*PVP*0183;75118-22;Paris/Sofia/16;16 RUE DE SOFIA;75018
FR*W75*PVP*0192;75119-17;Paris/David d'Angers/54;54 RUE DAVID D ANGERS;75019
FR*W75*PVP*0203;75120-10;Paris/Guébriant/6;6 RUE DE GUEBRIANT;75020
FR*W75*PVP*0204;75120-12;Paris/Sorbier/40;40 RUE SORBIER;75020
FR*W75*PVP*0206;75120-25;Paris/Couronnes/2;2 RUE DES COURONNES;75020
FR*W75*PVP*0209;75120-35;Paris/Charonne/52;52 BOULEVARD DE CHARONNE;75020
FR*W75*PVP*0210;75120-38;Paris/Frédéric Loliée/5;5 RUE FREDERIC LOLIEE;75020
FR*W75*PVP*0213;75117-38;Paris/Georges Berger/2;2 RUE GEORGES BERGER;75017
FR*W75*PVP*0216;75116-31;Paris/Exelmans/77;77 BOULEVARD EXELMANS;75016
FR*W75*PVP*0218;75116-38;Paris/Henri Martin/70;70 AVENUE HENRI MARTIN;75016
FR*W75*PVP*0223;75115-03;Paris/Arrivée/16;16 RUE DE L'ARRIVEE;75015
FR*W75*PVP*0226;75116-15;Paris/Pétrarque/2;2 RUE PETRARQUE;75016
FR*V75*EBELI*12;NULL;AVENUE REILLE;46 AVENUE REILLE;75014
FR*V75*EBELI*17;NULL;RUE CHANGARNIER;4 RUE CHANGARNIER;75012
FR*V75*EBELI*45;NULL;AVENUE PARMENTIER;4 AVENUE PARMENTIER;75011
FR*V75*EBELI*5;NULL;AV DUTUIT;3 AVENUE DUTUIT;75008
FR*V75*EBELI*6;NULL;PLACE ARMAND CARREL;4 PLACE ARMAND CARREL;75019
FR*V75*EBELI*69;NULL;BOULEVARD DIDEROT;126 BOULEVARD DIDEROT;75012
FR*V75*EBELI*81;NULL;AVENUE DE SAINT OUEN;60 AVENUE DE SAINT OUEN;75018
FR*V75*EBELI*85;NULL;RUE DE BELLEVILLE;6 RUE DE BELLEVILLE;75020
FR*V75*EBELI*87;NULL;RUE BOULEVARD DU TEMPLE;27 BOULEVARD DU TEMPLE;75003
FR*V75*EBELI*98;NULL;QUAI HENRI IV;4 QUAI HENRI IV;75004
FR*W75*PVP*0008;75102-12;Paris/Uzès/1;1 RUE D'UZES;75002
FR*W75*PVP*0019;75104-10;Paris/Béthune/36;36 QUAI DE BETHUNE;75004
FR*W75*PVP*0020;75104-13;Paris/Marché Neuf/8;8 QUAI DU MARCHE NEUF;75004
FR*W75*PVP*0023;75105-04;Paris/Saint Jacques/133;133 RUE SAINT JACQUES;75005
FR*W75*PVP*0030;75106-01;Paris/Jacques Callot/5;5 RUE JACQUES CALLOT;75006
FR*W75*PVP*0034;75106-11;Paris/Michelet/6;6 RUE MICHELET;75006
FR*W75*PVP*0041;75107-08;Paris/Duquesne/26;26 AVENUE DUQUESNE;75007
FR*W75*PVP*0043;75107-12;Paris/Bac/142;142 RUE DU BAC;75007
FR*W75*PVP*0045;75107-22;Paris/Saint-Germain/188;188 BOULEVARD SAINT GERMAIN;75007
FR*W75*PVP*0046;75107-23;Paris/Ernest Psichari/13;13 RUE ERNEST PSICHARI;75007
FR*W75*PVP*0054;75108-18;Paris/Courcelles/69;69 RUE DE COURCELLES;75008
FR*W75*PVP*0059;75109-01;Paris/Adolphe Max/6;6 PLACE ADOLPHE MAX;75009
FR*W75*PVP*0065;75109-16;Paris/La Fayette/7;7 RUE LA FAYETTE;75009
FR*W75*PVP*0073;75110-20;Paris/Beaurepaire/31;31 RUE BEAUREPAIRE;75010
FR*W75*PVP*0078;75110-33;Paris/Poissonnière/64;60 RUE DU FAUBOURG POISSONNIERE;75010
FR*W75*PVP*0085;75111-18;Paris/République/5;5 AVENUE DE LA REPUBLIQUE;75011
FR*W75*PVP*0087;75111-23;Paris/Philippe Auguste/65;65 AVENUE PHILIPPE AUGUSTE;75011
FR*W75*PVP*0093;75112-17;Paris/Antoine-Julien Henard/3;3 RUE ANTOINE JULIEN HENARD;75012
FR*W75*PVP*0102;75113-01;Paris/Bobillot/16;16 RUE BOBILLOT;75013
FR*W75*PVP*0111;75113-25;Paris/Vincent Auriol/143;143 BOULEVARD VINCENT AURIOL;75013
FR*W75*PVP*0115;75113-37;Paris/Frigos/24;24 RUE DES FRIGOS;75013
FR*W75*PVP*0117;75114-02;Paris/Castagnou/10;10 RUE PIERRE CASTAGNOU;75014
FR*W75*PVP*0118;75114-03;Paris/Edgar Quinet/2;2 BOULEVARD EDGAR QUINET;75014
FR*W75*PVP*0121;75114-07;Paris/Didot/41;41 RUE DIDOT;75014
FR*W75*PVP*0123;75114-10;Paris/Raymond Losserand/145;145 RUE RAYMOND LOSSERAND;75014
FR*W75*PVP*0125;75114-16;Paris/Alésia/33;33 RUE D'ALESIA;75014
FR*W75*PVP*0131;75115-06;Paris/Jean Sicard/1;1 RUE JEAN SICARD;75015
FR*W75*PVP*0133;75115-14;Paris/Sébastien Mercier/54;54 RUE SEBASTIEN MERCIER;75015
FR*W75*PVP*0136;75115-23;Paris/Balard/108;108 RUE BALARD;75015
FR*W75*PVP*0143;75115-43;Paris/Pasteur/41;41 BOULEVARD PASTEUR;75015
FR*W75*PVP*0144;75115-61;Paris/Beaugrenelle/4;4 RUE BEAUGRENELLE;75015
FR*W75*PVP*0148;75116-07;Paris/Flandrin/83;83 BOULEVARD FLANDRIN;75016
FR*W75*PVP*0149;75116-08;Paris/Mozart/68;68 AVENUE MOZART;75016
FR*W75*PVP*0152;75116-16;Paris/Malakoff/115;115 AVENUE DE MALAKOFF;75016
FR*W75*PVP*0158;75116-39;Paris/Pompe/137;137 RUE DE LA POMPE;75016
FR*W75*PVP*0159;75116-49;Paris/Auteuil/55;55 RUE D'AUTEUIL;75016
FR*W75*PVP*0165;75117-12;Paris/Batignolles/27;27 RUE DES BATIGNOLLES;75017
FR*W75*PVP*0169;75117-27;Paris/Niel/28;28 AVENUE NIEL;75017
FR*W75*PVP*0172;75117-30;Paris/Grande Armée/40;40 AVENUE DE LA GRANDE ARMEE;75017
FR*W75*PVP*0177;75118-10;Paris/Marcadet/150;150 RUE MARCADET;75018
FR*W75*PVP*0178;75118-11;Paris/Championnet/162;162 RUE CHAMPIONNET;75018
FR*W75*PVP*0179;75118-14;Paris/Ordener/120;120 RUE ORDENER;75018
FR*W75*PVP*0196;75119-28;Paris/Porte d'Aubervilliers/10;10 AVENUE DE LA PORTE D AUBERVILLIERS;75019
FR*W75*PVP*0207;75120-28;Paris/Gambetta/65;65 AVENUE GAMBETTA;75020
FR*W75*PVP*0212;75115-29;Paris/Dantzig/80;80 RUE DE DANTZIG;75015
FR*W75*PVP*0220;75116-22;Paris/Georges Mandel/1;1 AVENUE GEORGES MANDEL;75016
FR*V75*EBELI*1;NULL;Place Saint Gervais;4 PLACE SAINT GERVAIS;75004
FR*V75*EBELI*15;NULL;RUE ABEL;2 RUE ABEL;75012
FR*V75*EBELI*26;NULL;RUE ETIENNE MARCEL;44 RUE ETIENNE MARCEL;75002
FR*V75*EBELI*29;NULL;QUAI DU MARCHE NEUF;4 QUAI DU MARCHE NEUF;75004
FR*V75*EBELI*3;NULL;AVENUE DE LA GRANDE ARMEE;77 AVENUE DE LA GRANDE ARMEE;75116
FR*V75*EBELI*52;NULL;RUE FABERT;22 RUE FABERT;75007
FR*V75*EBELI*70;NULL;AVENUE DU GENERAL DODDS;3 AVENUE DU GENERAL DODDS;75012
FR*V75*EBELI*76;NULL;AVENUE HENRI MARTIN;101 AVENUE HENRI MARTIN;75116
FR*V75*EBELI*83;NULL;BOULEVARD SERURIER;54 BOULEVARD SERURIER;75019
FR*V75*EBELI*94;NULL;Rue Baron Leroy;54 RUE BARON LE ROY;75012
FR*W75*PVP*0015;75103-16;Paris/Turenne/98;98 RUE DE TURENNE;75003
FR*W75*PVP*0018;75104-05;Paris/Sainte-Croix de la Bretonnerie/37;37 RUE SAINTE CROIX DE LA BRETONNERIE;75004
FR*W75*PVP*0025;75105-06;Paris/Gay-Lussac/66;66 RUE GAY LUSSAC;75005
FR*W75*PVP*0028;75105-21;Paris/Claude Bernard/16;16 RUE CLAUDE BERNARD;75005
FR*W75*PVP*0039;75107-04;Paris/Mithouard/6;6 PLACE DU PRESIDENT MITHOUARD;75007
FR*W75*PVP*0044;75107-15;Paris/Martignac/2;2 RUE DE MARTIGNAC;75007
FR*W75*PVP*0047;75108-02;Paris/Messine/12;12 AVENUE DE MESSINE;75008
FR*W75*PVP*0051;75108-11;Paris/Berri/10;10 RUE DE BERRI;75008
FR*W75*PVP*0056;75108-27;Paris/Liège/24;24 RUE DE LIEGE;75008
FR*W75*PVP*0064;75109-13;Paris/Victoire/76;76 RUE DE LA VICTOIRE;75009
FR*W75*PVP*0066;75109-19;Paris/La Fayette/56;56 RUE LA FAYETTE;75009
FR*W75*PVP*0070;75110-06;Paris/Villette/55;55 BOULEVARD DE LA VILLETTE;75010
FR*W75*PVP*0071;75110-08;Paris/Paradis/28;28 RUE DE PARADIS;75010
FR*W75*PVP*0083;75111-10;Paris/Parmentier/125;125 BIS AVENUE PARMENTIER;75011
FR*W75*PVP*0086;75111-21;Paris/Roubo/1;1 RUE ROUBO;75011
FR*W75*PVP*0096;75112-24;Paris/Fabre d'Églantine/2;2 RUE FABRE D'EGLANTINE;75012
FR*W75*PVP*0100;75112-35;Paris/Émile Laurent/1;1 AVENUE EMILE LAURENT;75012
FR*W75*PVP*0104;75113-07;Paris/Croulebarbe/1;3 RUE DE CROULEBARBE;75013
FR*W75*PVP*0105;75113-08;Paris/Tolbiac/245;245 RUE DE TOLBIAC;75013
FR*W75*PVP*0112;75113-27;Paris/Jeanne D'Arc/157;157 RUE JEANNE D'ARC;75013
FR*W75*PVP*0114;75113-35;Paris/Jean Delay/10;10 PLACE JEAN DELAY;75013
FR*W75*PVP*0119;75114-04;Paris/Boulard/1;1 RUE BOULARD;75014
FR*W75*PVP*0128;75114-29;Paris/Porte de Montrouge/8;8 AVENUE DE LA PORTE DE MONTROUGE;75014
FR*W75*PVP*0132;75115-10;Paris/Olivier de Serres/3;3 RUE OLIVIER DE SERRES;75015
FR*W75*PVP*0138;75115-33;Paris/Émile Zola/143;143 AVENUE EMILE ZOLA;75015
FR*W75*PVP*0139;75115-34;Paris/Vouillé/47;47 RUE DE VOUILLE;75015
